epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1938.95,1.35456,0.85243,1.10098,0.91368,0.70065,0.77396,0.49752,1.3763,0.81607,1.19788,0.000990365,0.000990365,0.000990365
43,1984.07,1.37018,0.83478,1.11083,0.89419,0.70479,0.76854,0.483,1.41472,0.82333,1.19683,0.000973861,0.000973861,0.000973861
44,2029.09,1.36139,0.82536,1.10979,0.90008,0.7129,0.78014,0.50141,1.37786,0.79342,1.18675,0.000957358,0.000957358,0.000957358
45,2075.53,1.36008,0.86502,1.10757,0.91154,0.71295,0.77494,0.49784,1.38818,0.79377,1.18876,0.000940855,0.000940855,0.000940855
46,2121.59,1.34252,0.86041,1.11425,0.8924,0.71246,0.77688,0.49591,1.39113,0.8007,1.18572,0.000924352,0.000924352,0.000924352
47,2169.82,1.34214,0.83374,1.10189,0.90989,0.7073,0.7814,0.49012,1.38587,0.80093,1.18935,0.000907848,0.000907848,0.000907848
48,2213.7,1.34685,0.84087,1.09601,0.89782,0.70535,0.77687,0.49659,1.39574,0.80949,1.17478,0.000891345,0.000891345,0.000891345
49,2259.9,1.32716,0.82094,1.0928,0.89053,0.7196,0.78595,0.50283,1.35756,0.7731,1.17018,0.000874842,0.000874842,0.000874842
50,2304.58,1.33557,0.80735,1.08931,0.90559,0.71217,0.77526,0.4998,1.37578,0.78373,1.18738,0.000858338,0.000858338,0.000858338
51,2349,1.32297,0.81911,1.09816,0.92023,0.72068,0.78618,0.50704,1.34066,0.78741,1.16775,0.000841835,0.000841835,0.000841835
52,2395.22,1.31721,0.79984,1.09987,0.91102,0.71935,0.79863,0.51712,1.33783,0.76429,1.16759,0.000825332,0.000825332,0.000825332
53,2442.35,1.31033,0.80194,1.08205,0.92141,0.71429,0.79027,0.51902,1.34229,0.76072,1.1559,0.000808828,0.000808828,0.000808828
54,2486.74,1.31117,0.80529,1.08813,0.89854,0.7152,0.78854,0.50692,1.34048,0.77529,1.16331,0.000792325,0.000792325,0.000792325
55,2533.3,1.31539,0.8074,1.08729,0.92449,0.72775,0.79861,0.52322,1.31049,0.74489,1.14102,0.000775822,0.000775822,0.000775822
56,2579.76,1.2947,0.79034,1.08433,0.93057,0.71914,0.79698,0.52522,1.31314,0.74194,1.14608,0.000759318,0.000759318,0.000759318
57,2623.58,1.29286,0.78898,1.08045,0.91605,0.71232,0.78941,0.51144,1.34587,0.76178,1.15884,0.000742815,0.000742815,0.000742815
58,2670,1.28817,0.77668,1.08093,0.91854,0.72753,0.79774,0.52042,1.32242,0.75112,1.1537,0.000726312,0.000726312,0.000726312
59,2718.83,1.28251,0.78255,1.08246,0.92326,0.71937,0.80027,0.51665,1.35453,0.75466,1.16957,0.000709809,0.000709809,0.000709809
60,2763.73,1.27711,0.76844,1.06954,0.91357,0.72699,0.80118,0.52625,1.29937,0.73659,1.14723,0.000693305,0.000693305,0.000693305
61,2808.57,1.26661,0.76219,1.0734,0.93691,0.71474,0.79247,0.51639,1.3097,0.75275,1.14999,0.000676802,0.000676802,0.000676802
62,2855.28,1.26259,0.76818,1.06848,0.90966,0.72739,0.80516,0.52266,1.33784,0.73623,1.1618,0.000660299,0.000660299,0.000660299
63,2909.01,1.27463,0.76177,1.0665,0.93025,0.71284,0.78692,0.5185,1.32101,0.74652,1.14963,0.000643795,0.000643795,0.000643795
64,2961,1.28974,0.78897,1.07817,0.92321,0.71459,0.79465,0.52003,1.30235,0.73947,1.14298,0.000627292,0.000627292,0.000627292
65,3011.96,1.25992,0.75909,1.06106,0.91768,0.71918,0.79583,0.52336,1.33446,0.7463,1.1529,0.000610789,0.000610789,0.000610789
66,3058.16,1.25528,0.75518,1.0682,0.91379,0.71771,0.7978,0.52314,1.31244,0.73241,1.14752,0.000594286,0.000594286,0.000594286
67,3108.76,1.24464,0.75232,1.06381,0.93271,0.72727,0.80668,0.53698,1.27339,0.71355,1.12848,0.000577782,0.000577782,0.000577782
68,3155.37,1.22696,0.73949,1.05533,0.9148,0.73109,0.80417,0.53469,1.27391,0.72261,1.12672,0.000561279,0.000561279,0.000561279
69,3202.58,1.23642,0.73942,1.06281,0.90431,0.72824,0.80134,0.52541,1.30033,0.72503,1.13395,0.000544776,0.000544776,0.000544776
70,3251.28,1.24304,0.73241,1.05303,0.91292,0.72738,0.80974,0.52827,1.30342,0.72371,1.14862,0.000528272,0.000528272,0.000528272
71,3298.01,1.22609,0.72429,1.05582,0.93436,0.72243,0.80238,0.53629,1.2732,0.71711,1.13302,0.000511769,0.000511769,0.000511769
72,3343.13,1.23663,0.72886,1.05153,0.92014,0.73294,0.81292,0.53967,1.27062,0.69485,1.13302,0.000495266,0.000495266,0.000495266
73,3387.12,1.21645,0.73088,1.04733,0.91924,0.73262,0.80875,0.54079,1.25928,0.7039,1.12801,0.000478762,0.000478762,0.000478762
74,3433.66,1.21812,0.72355,1.04594,0.89101,0.73045,0.80734,0.54153,1.25662,0.69654,1.12449,0.000462259,0.000462259,0.000462259
75,3483.13,1.20547,0.72366,1.04536,0.92205,0.72537,0.8051,0.53646,1.27018,0.70132,1.13677,0.000445756,0.000445756,0.000445756
76,3526.85,1.20242,0.71989,1.04009,0.92183,0.72758,0.80749,0.54052,1.25631,0.70265,1.12225,0.000429253,0.000429253,0.000429253
77,3572.7,1.20233,0.71842,1.04207,0.92836,0.72647,0.79973,0.53556,1.24862,0.70202,1.11798,0.000412749,0.000412749,0.000412749
78,3619.19,1.19824,0.70972,1.03798,0.9288,0.73027,0.8061,0.53828,1.264,0.703,1.13092,0.000396246,0.000396246,0.000396246
79,3664.66,1.18922,0.70899,1.0418,0.89691,0.69911,0.79183,0.53011,1.26568,0.71501,1.13639,0.000379743,0.000379743,0.000379743
80,3708.95,1.18739,0.70207,1.03905,0.92932,0.72335,0.8047,0.53787,1.26193,0.69383,1.13323,0.000363239,0.000363239,0.000363239
81,3757.18,1.18677,0.70025,1.03041,0.92533,0.72402,0.80409,0.54618,1.2364,0.68903,1.11709,0.000346736,0.000346736,0.000346736
82,3803.22,1.18133,0.69063,1.03063,0.8932,0.71957,0.80001,0.54134,1.24769,0.69078,1.1206,0.000330233,0.000330233,0.000330233
83,3846.75,1.17315,0.69611,1.03389,0.91297,0.73322,0.80516,0.5457,1.22726,0.68716,1.11,0.000313729,0.000313729,0.000313729
84,3892.94,1.16549,0.67882,1.03117,0.91446,0.7327,0.80482,0.542,1.24444,0.68819,1.12236,0.000297226,0.000297226,0.000297226
85,3939.7,1.16968,0.68115,1.02494,0.91856,0.7366,0.80732,0.54607,1.23874,0.6856,1.11334,0.000280723,0.000280723,0.000280723
86,3989.53,1.15632,0.68334,1.0301,0.91777,0.73018,0.80297,0.54574,1.23743,0.68388,1.10761,0.00026422,0.00026422,0.00026422
87,4035.25,1.16515,0.6914,1.03299,0.9306,0.72871,0.81297,0.54697,1.23247,0.68232,1.112,0.000247716,0.000247716,0.000247716
88,4080.82,1.15339,0.67636,1.02097,0.93101,0.72648,0.81057,0.55064,1.23715,0.67654,1.11412,0.000231213,0.000231213,0.000231213
89,4127.98,1.14933,0.67387,1.02404,0.93291,0.72892,0.81217,0.54681,1.24115,0.68537,1.11322,0.00021471,0.00021471,0.00021471
90,4175.25,1.14753,0.66889,1.02722,0.9286,0.72699,0.81183,0.54957,1.23787,0.68361,1.11444,0.000198206,0.000198206,0.000198206
91,4225.42,1.1656,0.6669,1.0199,0.93601,0.72648,0.81297,0.54689,1.24415,0.67909,1.12304,0.000181703,0.000181703,0.000181703
92,4269.04,1.14957,0.6532,1.00876,0.89761,0.73007,0.80993,0.5448,1.2336,0.6785,1.11524,0.0001652,0.0001652,0.0001652
93,4314.73,1.13572,0.64175,1.00907,0.9083,0.72422,0.80607,0.5448,1.2394,0.68101,1.11913,0.000148696,0.000148696,0.000148696
94,4358.35,1.13151,0.63709,1.00261,0.92541,0.73423,0.80953,0.5481,1.22595,0.67715,1.10934,0.000132193,0.000132193,0.000132193
95,4403.36,1.12463,0.63087,1.00253,0.92393,0.72244,0.81156,0.54858,1.22272,0.67741,1.11046,0.00011569,0.00011569,0.00011569
96,4448.27,1.12321,0.63459,1.00859,0.90513,0.71861,0.80782,0.54438,1.22894,0.68078,1.11232,9.91865e-05,9.91865e-05,9.91865e-05
97,4494.75,1.11634,0.63515,0.99974,0.90952,0.72045,0.81263,0.54845,1.22877,0.67466,1.11338,8.26832e-05,8.26832e-05,8.26832e-05
98,4541.31,1.11529,0.62624,0.99786,0.92403,0.73312,0.81454,0.55274,1.22459,0.67051,1.10906,6.61799e-05,6.61799e-05,6.61799e-05
99,4584.54,1.11474,0.62059,0.99603,0.92724,0.72485,0.81347,0.55082,1.22205,0.67283,1.11165,4.96766e-05,4.96766e-05,4.96766e-05
100,4629.81,1.10722,0.62336,0.99623,0.9295,0.73029,0.8145,0.54977,1.22098,0.6723,1.11233,3.31733e-05,3.31733e-05,3.31733e-05
